sid,type,code,val,form,created_by,creation_time
50,gid,IT IS-SmartPrint,-1,,manual,2026-06-12
50,gid,ITIS-RTS,-1,,manual,2026-06-12
50,gid,VMP-Celia Chiang,-1,,manual,2026-06-12
50,gid,ODC1-Leo Xie,-1,,manual,2026-06-12
50,gid,EXOM-HD,-1,,manual,2026-06-12
50,gid,OPER-ASH,-1,,manual,2026-06-12
50,gid,ISIE,-1,,manual,2026-06-12
50,gid,OPER,-1,,manual,2026-06-12
50,gid,ITIS-CFS,-1,,manual,2026-06-12
50,gid,OPER-ETMSSafeTrack,-1,,manual,2026-06-12
50,gid,OPER-ESPEDIA,-1,,manual,2026-06-12
50,gid,OPER-OPD,-1,,manual,2026-06-12
50,gid,C&IS-SIEM,-1,,manual,2026-06-12
50,gid,EWF,-1,,manual,2026-06-12
50,gid,ISS-Ryan-Lau,-1,,manual,2026-06-12
50,gid,MCP-INF,-1,,manual,2026-06-12
50,gid,MKT-BSRS,-1,,manual,2026-06-12
50,gid,EFW,-1,,manual,2026-06-12
50,gid,ITIS-VCS,-1,,manual,2026-06-12
50,gid,C&IS-IRM,-1,,manual,2026-06-12
50,subcategory,User Self Service,-1,,manual,2026-06-12
50,subcategory,Enquiry,-1,,manual,2026-06-12
50,subcategory,Wifi,-1,,manual,2026-06-12
50,subcategory,N/A,-1,,manual,2026-06-12
50,subcategory,Control-M Job,-1,,manual,2026-06-12
50,subcategory,3RD PARTY APPS,-1,,manual,2026-06-12
50,subcategory,OTHERS,-1,,manual,2026-06-12
50,subcategory,Access / Connectivity,-1,,manual,2026-06-12
50,subcategory,Login,-1,,manual,2026-06-12
50,subcategory,Remedy,-1,,manual,2026-06-12
50,subcategory,CPU Utilization,-1,,manual,2026-06-12
50,subcategory,Error,-1,,manual,2026-06-12
50,subcategory,Firewall,-1,,manual,2026-06-12
50,subcategory,Client_VDI,-1,,manual,2026-06-12
50,subcategory,Edge,-1,,manual,2026-06-12
50,subcategory,MWS,-1,,manual,2026-06-12
50,subcategory,Copier,-1,,manual,2026-06-12
50,subcategory,OUTLOOK,-1,,manual,2026-06-12
50,subcategory,PC Setting,-1,,manual,2026-06-12
50,subcategory,PC,-1,,manual,2026-06-12
50,subcategory,Error or Warning Message,-1,,manual,2026-06-12
50,subcategory,MS_Teams,-1,,manual,2026-06-12
50,subcategory,Monitor,-1,,manual,2026-06-12
50,subcategory,OIS,-1,,manual,2026-06-12
50,subcategory,Laptop,-1,,manual,2026-06-12
50,subcategory,A-PDF_Mailer,-1,,manual,2026-06-12
50,subcategory,OneDrive,-1,,manual,2026-06-12
50,subcategory,Printer,-1,,manual,2026-06-12
50,subcategory,Request,-1,,manual,2026-06-12
50,subcategory,PRINTING / PRINT QUEUE,-1,,manual,2026-06-12
50,subcategory,Bentley Microstation CE,-1,,manual,2026-06-12
50,subcategory,Print_Queue,-1,,manual,2026-06-12
50,subcategory,Win_OS,-1,,manual,2026-06-12
50,subcategory,Client_RTS,-1,,manual,2026-06-12
50,subcategory,Bentely_View_CE,-1,,manual,2026-06-12
50,subcategory,RPA,-1,,manual,2026-06-12
50,subcategory,EXCEL,-1,,manual,2026-06-12
50,subcategory,Process or Service Down,-1,,manual,2026-06-12
50,subcategory,Plotter,-1,,manual,2026-06-12
50,subcategory,CQAS,-1,,manual,2026-06-12
50,subcategory,STP,-1,,manual,2026-06-12
50,subcategory,HRMS,-1,,manual,2026-06-12
50,subcategory,EPMS,-1,,manual,2026-06-12
50,subcategory,SharePoint_Online,-1,,manual,2026-06-12
50,subcategory,SharePoint_Local,-1,,manual,2026-06-12
50,subcategory,Performance,-1,,manual,2026-06-12
50,subcategory,OWA,-1,,manual,2026-06-12
50,subcategory,O365,-1,,manual,2026-06-12
50,subcategory,Acrobat_Reader,-1,,manual,2026-06-12
50,subcategory,MFA,-1,,manual,2026-06-12
50,subcategory,Disk Utilization,-1,,manual,2026-06-12
50,subcategory,Common_Drive,-1,,manual,2026-06-12
50,subcategory,Intune,-1,,manual,2026-06-12
50,subcategory,Local_PC_Software,-1,,manual,2026-06-12
50,subcategory,MS_PowerBI,-1,,manual,2026-06-12
50,subcategory,Adobe_e-Sign,-1,,manual,2026-06-12
50,subcategory,Performance Network Utilization,-1,,manual,2026-06-12
50,subcategory,Within DLP,-1,,manual,2026-06-12
50,subcategory,Ping Fail,-1,,manual,2026-06-12
50,subcategory,Batch Job,-1,,manual,2026-06-12
50,subcategory,Memory Utilization,-1,,manual,2026-06-12
50,subcategory,IPS,-1,,manual,2026-06-12
50,uid,Remedy Application Service,-1,,manual,2026-06-12
50,uid,activationuser,-1,,manual,2026-06-12
50,uid,AR_ESCALATOR,-1,,manual,2026-06-12
50,uid,n/a,-1,,manual,2026-06-12
50,uid,JAVIERS,-1,,manual,2026-06-12
50,uid,REMADMIN,-1,,manual,2026-06-12
50,uid,MAGRACIA,-1,,manual,2026-06-12
50,uid,1/F SWTSO,-1,,manual,2026-06-12
50,uid,GARICAK,-1,,manual,2026-06-12
50,uid,HOHYC,-1,,manual,2026-06-12
50,uid,NHDTACC,-1,,manual,2026-06-12
50,uid,SECDEMO,-1,,manual,2026-06-12
50,uid,SECDEMO1,-1,,manual,2026-06-12
50,uid,hannah_admin,-1,,manual,2026-06-12
50,uid,ANDYCH,-1,,manual,2026-06-12
50,uid,appadmin,-1,,manual,2026-06-12
50,uid,TERRYHCT,-1,,manual,2026-06-12
50,uid,NOAHLAU,-1,,manual,2026-06-12
50,uid,LEEMWM,-1,,manual,2026-06-12
50,uid,SAMMYCHS,-1,,manual,2026-06-12
50,uid,ALEXCCK,-1,,manual,2026-06-12
50,uid,KENTCHEE,-1,,manual,2026-06-12
50,uid,LRXCHONG,-1,,manual,2026-06-12
50,uid,STEPHENIE,-1,,manual,2026-06-12
50,uid,KINMNG,-1,,manual,2026-06-12
50,uid,JWSLAI,-1,,manual,2026-06-12
50,uid,RICHARDM,-1,,manual,2026-06-12
50,uid,YYWANG,-1,,manual,2026-06-12
50,uid,MCFYIU,-1,,manual,2026-06-12
50,uid,OPERATOR,-1,,manual,2026-06-12
50,uid,RPYLAI,-1,,manual,2026-06-12
50,uid,CKLKEN,-1,,manual,2026-06-12
50,uid,AKWSO,-1,,manual,2026-06-12
50,uid,Z104318,-1,,manual,2026-06-12
50,uid,WONGSUN,-1,,manual,2026-06-12
50,uid,WINFZHU,-1,,manual,2026-06-12
50,uid,DALEHO,-1,,manual,2026-06-12
50,uid,PKMCHEUNG,-1,,manual,2026-06-12
50,uid,WACKOC,-1,,manual,2026-06-12
50,uid,TSEERIYL,-1,,manual,2026-06-12
50,uid,VINLEUNG,-1,,manual,2026-06-12
50,uid,MCHCHUNG,-1,,manual,2026-06-12
50,uid,N072716,-1,,manual,2026-06-12
50,uid,EDDIEHO,-1,,manual,2026-06-12
50,uid,JASONLCC,-1,,manual,2026-06-12
50,uid,CATGOO,-1,,manual,2026-06-12
50,uid,TONYSCH,-1,,manual,2026-06-12
50,uid,FHNTANG,-1,,manual,2026-06-12
50,uid,VWHSZETO,-1,,manual,2026-06-12
50,uid,OPERATOR1,-1,,manual,2026-06-12
50,uid,KCPCHAN,-1,,manual,2026-06-12
50,uid,FCYNG,-1,,manual,2026-06-12
50,uid,RFHPOON,-1,,manual,2026-06-12
50,uid,TOMTAM,-1,,manual,2026-06-12
50,uid,CONRAPJ,-1,,manual,2026-06-12
50,uid,VITUSL,-1,,manual,2026-06-12
50,uid,SAMCTS,-1,,manual,2026-06-12
50,uid,SCHU,-1,,manual,2026-06-12
50,uid,CTOBY,-1,,manual,2026-06-12
50,uid,WMCHUNG,-1,,manual,2026-06-12
50,uid,SNCCHONG,-1,,manual,2026-06-12
50,uid,TYLAI,-1,,manual,2026-06-12
50,uid,MTROPR,-1,,manual,2026-06-12
50,uid,LEOFONG,-1,,manual,2026-06-12
50,uid,LAMCKO,-1,,manual,2026-06-12
50,uid,YKTANG,-1,,manual,2026-06-12
50,uid,PMFYEUNG,-1,,manual,2026-06-12
50,uid,EYLTSANG,-1,,manual,2026-06-12
50,uid,AOKLEUNG,-1,,manual,2026-06-12
50,uid,WANDREWC,-1,,manual,2026-06-12
50,uid,LAMLYY,-1,,manual,2026-06-12
50,uid,TWSTSANG,-1,,manual,2026-06-12
50,uid,DAVIDCWK,-1,,manual,2026-06-12
50,uid,AA50038,-1,,manual,2026-06-12
50,uid,DKMLAM,-1,,manual,2026-06-12
50,uid,CAESARC,-1,,manual,2026-06-12
50,uid,FWYEUNG2,-1,,manual,2026-06-12
50,uid,KACHILAI,-1,,manual,2026-06-12
50,uid,IT-HELPDESK,-1,,manual,2026-06-12
50,uid,RAYLAM,-1,,manual,2026-06-12
50,uid,N052210,-1,,manual,2026-06-12
50,uid,KKFTSUI,-1,,manual,2026-06-12
50,uid,Yeung Wesley To Yiu,-1,,manual,2026-06-12
50,uid,LAI Vitus Long Chau,-1,,manual,2026-06-12
50,uid,Goo Cat Pui Sze,-1,,manual,2026-06-12
50,uid,Ng Francis Chi Yeung,-1,,manual,2026-06-12
50,uid,Tam Tommy Kin Keung,-1,,manual,2026-06-12
50,uid,Poon Raymond Fai Hung,-1,,manual,2026-06-12
50,uid,MAGRACIA Ian Paul,-1,,manual,2026-06-12
50,uid,Leung Benny ChiPan,-1,,manual,2026-06-12
50,uid,REMADMIN REMADMIN,-1,,manual,2026-06-12
50,uid,Cheng Emil Yuet Hing,-1,,manual,2026-06-12
50,uid,Fei Bennie Kar Leung,-1,,manual,2026-06-12
50,uid,Computer Operator,-1,,manual,2026-06-12
50,uid,LAM Paul Ho Tin,-1,,manual,2026-06-12
50,uid,CHAN Elvis,-1,,manual,2026-06-12
50,uid,Ching SH Siu Hung,-1,,manual,2026-06-12
50,uid,LAW Wilson Wai Sun,-1,,manual,2026-06-12
50,uid,JAVIER Sierwin S,-1,,manual,2026-06-12
50,uid,Sze William Luk Yau,-1,,manual,2026-06-12
50,uid,Chan Violet,-1,,manual,2026-06-12
50,uid,CHIU Willis Sin Wai,-1,,manual,2026-06-12
50,uid,Pang CH Chi Ho,-1,,manual,2026-06-12
50,uid,CHAN Justin Ka Tsun,-1,,manual,2026-06-12
50,uid,WONG Sunny CH,-1,,manual,2026-06-12
50,uid,GARICA King Irving Lindley,-1,,manual,2026-06-12
50,uid,YEUNG Peter Ming Fai,-1,,manual,2026-06-12
50,uid,HO YC Yiu Chung,-1,,manual,2026-06-12
50,uid,TONG Sam,-1,,manual,2026-06-12
50,uid,Ho Marco Woon Hang,-1,,manual,2026-06-12
50,uid,Dimension Data Support,-1,,manual,2026-06-12
50,uid,LEE Cara Ying Wa,-1,,manual,2026-06-12
50,uid,Cheung Samson Tak Sum,-1,,manual,2026-06-12
50,uid,Ho Dale Chi Man,-1,,manual,2026-06-12
50,uid,HUI Terry Chi To,-1,,manual,2026-06-12
50,uid,Chan Andy Wai Leung,-1,,manual,2026-06-12
